溯源批次码,作物名称,生产省份,生产县区,基地经度,基地纬度,种植日期,全流程农事操作记录,采摘完成时刻,采摘重量(kg),加工中心,加工厂经纬度,加工具体工序,加工开始时刻,加工结束时刻,存储仓库ID,仓库类型,入库时刻,出库时刻,仓储温湿度环境,物流运单号,运输车辆类型,物流作业要求,发货起运时刻,终端签收时刻,销售城市,销售区县网点,网点经度,网点纬度,终端上架时刻
CN-AG-202405-10418,油菜籽,湖北省,钟祥市,112.616711,31.214167,2023-10-10,2023-10-10 [育苗移栽] -> 2023-12-01 [越冬防冻肥] -> 2024-01-22 [薹期水肥调节] -> 2024-03-14 [菌核病无人机防治],2024-05-12 11:12,26563.61,钟祥市第4深加工基地,"112.576094,31.175801",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-14 13:12,2024-05-14 18:36,WH-CN-436,恒温罐区,2024-05-15 01:36,2024-06-24 01:36,避光控温控制,LOG-CN-23581889144,罐式车,"避光, 防氧化",2024-06-24 12:36,2024-06-28 15:12,西安市,长安区,108.87,34.15,2024-06-30 15:12
CN-AG-202411-10419,棉花,江苏省,射阳县,120.238358,33.69971,2024-05-14,2024-05-14 [覆膜播种] -> 2024-06-19 [人工打顶] -> 2024-07-25 [叶面喷施补硼] -> 2024-08-30 [枯萎病监测] -> 2024-10-05 [喷施脱叶剂],2024-11-08 08:40,12186.07,射阳县第2深加工基地,"120.253899,33.74347",皮棉清理->锯齿轧花->纤维分级->压力打包,2024-11-10 13:40,2024-11-10 21:29,WH-CN-945,专业纤维库,2024-11-11 04:29,2024-12-06 04:29,避光控温控制,LOG-CN-14251493847,高栏平板车,"严禁烟火, 防静电, 干燥",2024-12-06 15:29,2024-12-11 23:16,西安市,长安区,108.87,34.15,2024-12-13 23:16
CN-AG-202409-10420,玉米,山东省,汶上县,116.537073,35.711532,2024-05-29,2024-05-29 [免耕直播] -> 2024-06-20 [苗期中耕] -> 2024-07-12 [喇叭口期追肥] -> 2024-08-03 [大斑病防治] -> 2024-08-25 [人工授粉辅助],2024-09-12 08:35,11095.13,汶上县第3深加工基地,"116.48645,35.732819",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-14 12:35,2024-09-14 18:50,WH-CN-836,现代化圆筒仓,2024-09-15 01:50,2024-11-04 01:50,避光控温控制,LOG-CN-53698219274,重型散粮卡车,"通风良好, 严控高温",2024-11-04 07:50,2024-11-06 09:02,武汉市,洪山区,114.34,30.5,2024-11-08 09:02
CN-AG-202405-10421,油菜籽,湖北省,钟祥市,112.623442,31.125903,2023-10-11,2023-10-11 [育苗移栽] -> 2023-12-02 [越冬防冻肥] -> 2024-01-23 [薹期水肥调节] -> 2024-03-15 [菌核病无人机防治],2024-05-07 08:11,17937.42,钟祥市第3深加工基地,"112.579741,31.178455",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-08 10:11,2024-05-08 19:46,WH-CN-776,恒温罐区,2024-05-09 01:46,2024-06-12 01:46,避光控温控制,LOG-CN-21643407860,罐式车,"避光, 防氧化",2024-06-12 10:46,2024-06-15 02:15,上海市,闵行区,121.38,31.11,2024-06-16 02:15
CN-AG-202409-10422,水稻,辽宁省,盘山县,122.071777,41.25275,2024-05-06,2024-05-06 [播种育秧] -> 2024-05-29 [田间底肥] -> 2024-06-21 [插秧作业] -> 2024-07-14 [分蘖期灌溉] -> 2024-08-06 [除草控虫] -> 2024-08-29 [晒田补肥],2024-09-26 11:12,15296.4,盘山县第2深加工基地,"122.040051,41.233497",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-30 15:12,2024-09-30 20:24,WH-CN-435,平房仓(准低温),2024-10-01 06:24,2024-11-20 06:24,准低温低氧控制,LOG-CN-15356561466,散粮车,"防潮, 湿度<14%",2024-11-20 21:24,2024-11-25 00:36,深圳市,福田区,114.05,22.54,2024-11-28 00:36
CN-AG-202405-10423,油菜籽,四川省,安岳县,105.287565,30.08784,2023-10-29,2023-10-29 [育苗移栽] -> 2023-12-20 [越冬防冻肥] -> 2024-02-10 [薹期水肥调节] -> 2024-04-02 [菌核病无人机防治],2024-05-28 16:37,31289.77,安岳县第3深加工基地,"105.321363,30.097351",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-30 18:37,2024-05-31 03:48,WH-CN-610,恒温罐区,2024-05-31 14:48,2024-07-19 14:48,避光控温控制,LOG-CN-72358167880,罐式车,"避光, 防氧化",2024-07-20 04:48,2024-07-23 06:36,上海市,浦东新区,121.54,31.22,2024-07-26 06:36
CN-AG-202407-10424,大麦,新疆维吾尔自治区,奇台县,89.54622,43.963097,2024-04-06,2024-04-06 [翻耕播种] -> 2024-05-01 [分蘖期施氮] -> 2024-05-26 [化学除草] -> 2024-06-20 [灌浆期监控],2024-07-17 15:45,18856.5,奇台县第3深加工基地,"89.590991,44.029262",杂质清理->脱壳处理->分级磨皮->包装,2024-07-21 19:45,2024-07-22 03:12,WH-CN-535,平房仓,2024-07-22 13:12,2024-09-10 13:12,避光控温控制,LOG-CN-65356583329,散装车,防霉通风,2024-09-10 22:12,2024-09-12 23:40,北京市,朝阳区,116.48,39.92,2024-09-13 23:40
CN-AG-202410-10425,水稻,湖南省,安乡县,112.1619,29.465899,2024-05-25,2024-05-25 [播种育秧] -> 2024-06-17 [田间底肥] -> 2024-07-10 [插秧作业] -> 2024-08-02 [分蘖期灌溉] -> 2024-08-25 [除草控虫] -> 2024-09-17 [晒田补肥],2024-10-09 16:05,16773.09,安乡县第4深加工基地,"112.170123,29.406236",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-10 20:05,2024-10-11 02:22,WH-CN-578,平房仓(准低温),2024-10-11 14:22,2024-11-12 14:22,准低温低氧控制,LOG-CN-67692172514,散粮车,"防潮, 湿度<14%",2024-11-12 20:22,2024-11-16 07:54,深圳市,宝安区,113.88,22.55,2024-11-19 07:54
CN-AG-202406-10426,小麦,山东省,汶上县,116.43268,35.722741,2023-10-26,2023-10-26 [深耕整地] -> 2023-12-03 [秋播种子处理] -> 2024-01-10 [越冬水灌溉] -> 2024-02-17 [拔节期追肥] -> 2024-03-26 [条锈病防治] -> 2024-05-03 [干热风防护],2024-06-09 14:01,7735.57,汶上县第3深加工基地,"116.474321,35.732817",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-13 17:01,2024-06-13 21:46,WH-CN-333,钢板筒仓,2024-06-14 02:46,2024-07-16 02:46,准低温低氧控制,LOG-CN-23307565813,全封闭货车,"干燥, 禁止异味混载",2024-07-16 16:46,2024-07-20 10:20,上海市,闵行区,121.38,31.11,2024-07-23 10:20
CN-AG-202409-10427,大豆,吉林省,公主岭市,124.838024,43.534351,2024-05-18,2024-05-18 [拌种包衣] -> 2024-06-12 [等距点播] -> 2024-07-07 [结荚期根外追肥] -> 2024-08-01 [食心虫绿色防控] -> 2024-08-26 [除草中耕],2024-09-18 11:21,14864.58,公主岭市第3深加工基地,"124.811227,43.51304",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-21 15:21,2024-09-21 20:25,WH-CN-901,不锈钢储油罐区,2024-09-22 04:25,2024-10-14 04:25,准低温低氧控制,LOG-CN-65821012769,罐式车,"避光, 控温25℃下",2024-10-14 18:25,2024-10-17 03:25,广州市,番禺区,113.38,22.93,2024-10-19 03:25
CN-AG-202406-10428,小麦,河北省,宁晋县,114.915176,37.653691,2023-11-07,2023-11-07 [深耕整地] -> 2023-12-15 [秋播种子处理] -> 2024-01-22 [越冬水灌溉] -> 2024-02-29 [拔节期追肥] -> 2024-04-07 [条锈病防治] -> 2024-05-15 [干热风防护],2024-06-21 16:48,30287.86,宁晋县第4深加工基地,"114.929897,37.611163",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-25 19:48,2024-06-26 00:14,WH-CN-448,钢板筒仓,2024-06-26 07:14,2024-08-05 07:14,准低温低氧控制,LOG-CN-21991183164,全封闭货车,"干燥, 禁止异味混载",2024-08-05 22:14,2024-08-11 02:49,深圳市,宝安区,113.88,22.55,2024-08-13 02:49
CN-AG-202406-10429,小麦,河南省,唐河县,112.853404,32.626934,2023-11-06,2023-11-06 [深耕整地] -> 2023-12-14 [秋播种子处理] -> 2024-01-21 [越冬水灌溉] -> 2024-02-28 [拔节期追肥] -> 2024-04-06 [条锈病防治] -> 2024-05-14 [干热风防护],2024-06-25 14:13,34200.46,唐河县第3深加工基地,"112.824784,32.689674",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-29 20:13,2024-06-29 22:58,WH-CN-330,钢板筒仓,2024-06-30 07:58,2024-07-18 07:58,准低温低氧控制,LOG-CN-67634798874,全封闭货车,"干燥, 禁止异味混载",2024-07-18 13:58,2024-07-22 05:49,广州市,白云区,113.27,23.15,2024-07-25 05:49
CN-AG-202410-10430,水稻,广西壮族自治区,桂平市,110.034566,23.34707,2024-05-20,2024-05-20 [播种育秧] -> 2024-06-12 [田间底肥] -> 2024-07-05 [插秧作业] -> 2024-07-28 [分蘖期灌溉] -> 2024-08-20 [除草控虫] -> 2024-09-12 [晒田补肥],2024-10-11 17:01,18525.18,桂平市第4深加工基地,"110.072021,23.386066",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-12 20:01,2024-10-12 23:49,WH-CN-211,平房仓(准低温),2024-10-13 08:49,2024-11-28 08:49,准低温低氧控制,LOG-CN-88721774238,散粮车,"防潮, 湿度<14%",2024-11-28 17:49,2024-12-01 19:53,南京市,江宁区,118.83,31.95,2024-12-04 19:53
CN-AG-202408-10431,花生,江苏省,东海县,118.717475,34.563059,2024-04-05,2024-04-05 [清棵蹲苗] -> 2024-04-29 [培土迎葑] -> 2024-05-23 [钙镁肥补充] -> 2024-06-16 [下针期控旺] -> 2024-07-10 [地下虫害防治],2024-08-06 09:43,13156.38,东海县第5深加工基地,"118.779934,34.540188",剥壳分选->烘炒->压榨提取->物理精炼,2024-08-08 11:43,2024-08-08 21:16,WH-CN-171,避光库房,2024-08-09 08:16,2024-08-20 08:16,避光控温控制,LOG-CN-16247732978,厢式货车,避光防潮,2024-08-20 15:16,2024-08-23 16:34,广州市,天河区,113.33,23.13,2024-08-24 16:34
CN-AG-202409-10432,玉米,山东省,汶上县,116.493826,35.767676,2024-05-27,2024-05-27 [免耕直播] -> 2024-06-18 [苗期中耕] -> 2024-07-10 [喇叭口期追肥] -> 2024-08-01 [大斑病防治] -> 2024-08-23 [人工授粉辅助],2024-09-11 14:25,15841.5,汶上县第4深加工基地,"116.482478,35.726125",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-12 17:25,2024-09-13 00:29,WH-CN-262,现代化圆筒仓,2024-09-13 10:29,2024-10-23 10:29,避光控温控制,LOG-CN-89902323671,重型散粮卡车,"通风良好, 严控高温",2024-10-23 19:29,2024-10-25 12:24,上海市,闵行区,121.38,31.11,2024-10-26 12:24
CN-AG-202409-10433,花生,河南省,正阳县,114.37113,32.603245,2024-05-15,2024-05-15 [清棵蹲苗] -> 2024-06-08 [培土迎葑] -> 2024-07-02 [钙镁肥补充] -> 2024-07-26 [下针期控旺] -> 2024-08-19 [地下虫害防治],2024-09-09 11:00,21107.16,正阳县第5深加工基地,"114.387732,32.592614",剥壳分选->烘炒->压榨提取->物理精炼,2024-09-13 13:00,2024-09-13 22:32,WH-CN-140,避光库房,2024-09-14 08:32,2024-11-01 08:32,避光控温控制,LOG-CN-21756574083,厢式货车,避光防潮,2024-11-01 19:32,2024-11-05 20:28,深圳市,宝安区,113.88,22.55,2024-11-07 20:28
CN-AG-202410-10434,玉米,河南省,滑县,114.483355,35.563974,2024-07-01,2024-07-01 [免耕直播] -> 2024-07-23 [苗期中耕] -> 2024-08-14 [喇叭口期追肥] -> 2024-09-05 [大斑病防治] -> 2024-09-27 [人工授粉辅助],2024-10-23 12:25,24901.53,滑县第4深加工基地,"114.518283,35.567355",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-25 17:25,2024-10-25 22:02,WH-CN-815,现代化圆筒仓,2024-10-26 04:02,2024-12-14 04:02,避光控温控制,LOG-CN-18356663592,重型散粮卡车,"通风良好, 严控高温",2024-12-14 16:02,2024-12-19 04:13,南京市,江宁区,118.83,31.95,2024-12-22 04:13
CN-AG-202407-10435,大麦,甘肃省,永昌县,101.998034,38.279305,2024-04-07,2024-04-07 [翻耕播种] -> 2024-05-02 [分蘖期施氮] -> 2024-05-27 [化学除草] -> 2024-06-21 [灌浆期监控],2024-07-21 16:18,31828.87,永昌县第3深加工基地,"101.960221,38.245386",杂质清理->脱壳处理->分级磨皮->包装,2024-07-22 19:18,2024-07-23 02:00,WH-CN-519,平房仓,2024-07-23 12:00,2024-09-06 12:00,避光控温控制,LOG-CN-33411591806,散装车,防霉通风,2024-09-06 19:00,2024-09-11 19:06,上海市,闵行区,121.38,31.11,2024-09-14 19:06
CN-AG-202405-10436,油菜籽,甘肃省,民乐县,100.807761,38.419938,2023-10-13,2023-10-13 [育苗移栽] -> 2023-12-04 [越冬防冻肥] -> 2024-01-25 [薹期水肥调节] -> 2024-03-17 [菌核病无人机防治],2024-05-15 08:04,37099.79,民乐县第3深加工基地,"100.805196,38.420384",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-19 13:04,2024-05-19 18:29,WH-CN-786,恒温罐区,2024-05-20 04:29,2024-06-11 04:29,避光控温控制,LOG-CN-73345081198,罐式车,"避光, 防氧化",2024-06-11 10:29,2024-06-13 18:36,南京市,玄武区,118.79,32.06,2024-06-16 18:36
CN-AG-202409-10437,玉米,安徽省,蒙城县,116.516453,33.291235,2024-05-18,2024-05-18 [免耕直播] -> 2024-06-09 [苗期中耕] -> 2024-07-01 [喇叭口期追肥] -> 2024-07-23 [大斑病防治] -> 2024-08-14 [人工授粉辅助],2024-09-03 16:42,9345.3,蒙城县第4深加工基地,"116.554304,33.260706",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-07 19:42,2024-09-08 02:13,WH-CN-272,现代化圆筒仓,2024-09-08 10:13,2024-09-28 10:13,避光控温控制,LOG-CN-13279590011,重型散粮卡车,"通风良好, 严控高温",2024-09-29 01:13,2024-09-30 13:24,广州市,天河区,113.33,23.13,2024-10-02 13:24
CN-AG-202409-10438,水稻,广西壮族自治区,桂平市,110.048944,23.331454,2024-04-30,2024-04-30 [播种育秧] -> 2024-05-23 [田间底肥] -> 2024-06-15 [插秧作业] -> 2024-07-08 [分蘖期灌溉] -> 2024-07-31 [除草控虫] -> 2024-08-23 [晒田补肥],2024-09-15 13:11,5163.3,桂平市第4深加工基地,"110.086031,23.399517",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-16 19:11,2024-09-16 23:31,WH-CN-885,平房仓(准低温),2024-09-17 10:31,2024-09-30 10:31,准低温低氧控制,LOG-CN-58317092645,散粮车,"防潮, 湿度<14%",2024-09-30 20:31,2024-10-04 04:34,上海市,闵行区,121.38,31.11,2024-10-07 04:34
CN-AG-202406-10439,大麦,甘肃省,永昌县,101.968542,38.295149,2024-02-27,2024-02-27 [翻耕播种] -> 2024-03-23 [分蘖期施氮] -> 2024-04-17 [化学除草] -> 2024-05-12 [灌浆期监控],2024-06-01 14:01,19548.8,永昌县第1深加工基地,"101.970959,38.232195",杂质清理->脱壳处理->分级磨皮->包装,2024-06-04 17:01,2024-06-05 01:19,WH-CN-935,平房仓,2024-06-05 06:19,2024-06-29 06:19,避光控温控制,LOG-CN-54354734864,散装车,防霉通风,2024-06-29 14:19,2024-07-04 10:29,上海市,宝山区,121.48,31.4,2024-07-05 10:29
CN-AG-202405-10440,油菜籽,湖北省,钟祥市,112.621323,31.164525,2023-10-25,2023-10-25 [育苗移栽] -> 2023-12-16 [越冬防冻肥] -> 2024-02-06 [薹期水肥调节] -> 2024-03-29 [菌核病无人机防治],2024-05-18 14:27,18621.53,钟祥市第4深加工基地,"112.579765,31.161962",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-20 17:27,2024-05-20 20:51,WH-CN-325,恒温罐区,2024-05-21 05:51,2024-06-20 05:51,避光控温控制,LOG-CN-47860501335,罐式车,"避光, 防氧化",2024-06-20 17:51,2024-06-25 05:11,广州市,天河区,113.33,23.13,2024-06-26 05:11
CN-AG-202409-10441,玉米,四川省,三台县,105.068961,31.048006,2024-05-17,2024-05-17 [免耕直播] -> 2024-06-08 [苗期中耕] -> 2024-06-30 [喇叭口期追肥] -> 2024-07-22 [大斑病防治] -> 2024-08-13 [人工授粉辅助],2024-09-03 11:26,29371.04,三台县第2深加工基地,"105.08952,31.094747",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-07 13:26,2024-09-07 22:00,WH-CN-440,现代化圆筒仓,2024-09-08 10:00,2024-10-24 10:00,避光控温控制,LOG-CN-96652387017,重型散粮卡车,"通风良好, 严控高温",2024-10-24 17:00,2024-10-28 21:20,广州市,白云区,113.27,23.15,2024-10-31 21:20
CN-AG-202410-10442,玉米,广西壮族自治区,武宣县,109.647337,23.575107,2024-06-11,2024-06-11 [免耕直播] -> 2024-07-03 [苗期中耕] -> 2024-07-25 [喇叭口期追肥] -> 2024-08-16 [大斑病防治] -> 2024-09-07 [人工授粉辅助],2024-10-03 13:01,15809.7,武宣县第4深加工基地,"109.6657,23.589189",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-07 18:01,2024-10-08 00:52,WH-CN-875,现代化圆筒仓,2024-10-08 07:52,2024-11-19 07:52,避光控温控制,LOG-CN-92650399563,重型散粮卡车,"通风良好, 严控高温",2024-11-19 13:52,2024-11-23 20:40,北京市,朝阳区,116.48,39.92,2024-11-24 20:40
CN-AG-202409-10443,水稻,吉林省,前郭县,124.86464,45.15705,2024-04-27,2024-04-27 [播种育秧] -> 2024-05-20 [田间底肥] -> 2024-06-12 [插秧作业] -> 2024-07-05 [分蘖期灌溉] -> 2024-07-28 [除草控虫] -> 2024-08-20 [晒田补肥],2024-09-12 15:18,27526.07,前郭县第1深加工基地,"124.806308,45.115738",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-14 20:18,2024-09-15 00:32,WH-CN-633,平房仓(准低温),2024-09-15 04:32,2024-10-10 04:32,准低温低氧控制,LOG-CN-97681299493,散粮车,"防潮, 湿度<14%",2024-10-10 15:32,2024-10-12 08:49,西安市,长安区,108.87,34.15,2024-10-14 08:49
CN-AG-202406-10444,小麦,河南省,滑县,114.512512,35.592576,2023-11-13,2023-11-13 [深耕整地] -> 2023-12-21 [秋播种子处理] -> 2024-01-28 [越冬水灌溉] -> 2024-03-06 [拔节期追肥] -> 2024-04-13 [条锈病防治] -> 2024-05-21 [干热风防护],2024-06-28 13:21,5211.49,滑县第4深加工基地,"114.526817,35.565093",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-30 19:21,2024-06-30 22:18,WH-CN-171,钢板筒仓,2024-07-01 05:18,2024-07-25 05:18,准低温低氧控制,LOG-CN-39865747417,全封闭货车,"干燥, 禁止异味混载",2024-07-25 16:18,2024-07-27 15:46,南京市,南京浦口区,118.62,32.05,2024-07-30 15:46
CN-AG-202409-10445,玉米,吉林省,榆树市,126.598211,44.764611,2024-05-14,2024-05-14 [免耕直播] -> 2024-06-05 [苗期中耕] -> 2024-06-27 [喇叭口期追肥] -> 2024-07-19 [大斑病防治] -> 2024-08-10 [人工授粉辅助],2024-09-05 09:11,19840.59,榆树市第5深加工基地,"126.552744,44.81923",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-07 12:11,2024-09-07 19:00,WH-CN-354,现代化圆筒仓,2024-09-08 00:00,2024-10-15 00:00,避光控温控制,LOG-CN-49956513282,重型散粮卡车,"通风良好, 严控高温",2024-10-15 08:00,2024-10-20 04:12,西安市,未央区,108.94,34.29,2024-10-21 04:12
CN-AG-202405-10446,油菜籽,湖南省,安乡县,112.217414,29.429122,2023-10-12,2023-10-12 [育苗移栽] -> 2023-12-03 [越冬防冻肥] -> 2024-01-24 [薹期水肥调节] -> 2024-03-16 [菌核病无人机防治],2024-05-09 15:05,33686.13,安乡县第4深加工基地,"112.172279,29.412733",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-13 20:05,2024-05-14 00:00,WH-CN-120,恒温罐区,2024-05-14 11:00,2024-06-21 11:00,避光控温控制,LOG-CN-64812068980,罐式车,"避光, 防氧化",2024-06-22 02:00,2024-06-27 00:27,南京市,南京浦口区,118.62,32.05,2024-06-28 00:27
CN-AG-202410-10447,水稻,江苏省,兴化市,119.852209,32.877998,2024-05-30,2024-05-30 [播种育秧] -> 2024-06-22 [田间底肥] -> 2024-07-15 [插秧作业] -> 2024-08-07 [分蘖期灌溉] -> 2024-08-30 [除草控虫] -> 2024-09-22 [晒田补肥],2024-10-20 16:09,7517.89,兴化市第2深加工基地,"119.854749,32.923003",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-22 20:09,2024-10-23 01:53,WH-CN-832,平房仓(准低温),2024-10-23 12:53,2024-11-21 12:53,准低温低氧控制,LOG-CN-37785253600,散粮车,"防潮, 湿度<14%",2024-11-22 00:53,2024-11-26 00:31,西安市,未央区,108.94,34.29,2024-11-28 00:31
CN-AG-202410-10448,棉花,新疆维吾尔自治区,沙雅县,82.801627,41.221467,2024-04-04,2024-04-04 [覆膜播种] -> 2024-05-10 [人工打顶] -> 2024-06-15 [叶面喷施补硼] -> 2024-07-21 [枯萎病监测] -> 2024-08-26 [喷施脱叶剂],2024-10-01 16:46,19307.57,沙雅县第1深加工基地,"82.771696,41.210833",皮棉清理->锯齿轧花->纤维分级->压力打包,2024-10-05 21:46,2024-10-06 03:48,WH-CN-227,专业纤维库,2024-10-06 13:48,2024-11-08 13:48,避光控温控制,LOG-CN-33904106882,高栏平板车,"严禁烟火, 防静电, 干燥",2024-11-08 23:48,2024-11-13 10:25,南京市,江宁区,118.83,31.95,2024-11-14 10:25
CN-AG-202410-10449,玉米,内蒙古自治区,阿荣旗,123.45865,48.145959,2024-07-05,2024-07-05 [免耕直播] -> 2024-07-27 [苗期中耕] -> 2024-08-18 [喇叭口期追肥] -> 2024-09-09 [大斑病防治] -> 2024-10-01 [人工授粉辅助],2024-10-25 13:32,27083.34,阿荣旗第1深加工基地,"123.500242,48.111425",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-28 15:32,2024-10-28 23:35,WH-CN-814,现代化圆筒仓,2024-10-29 09:35,2024-12-05 09:35,避光控温控制,LOG-CN-98758401015,重型散粮卡车,"通风良好, 严控高温",2024-12-05 22:35,2024-12-07 03:33,深圳市,福田区,114.05,22.54,2024-12-09 03:33
CN-AG-202411-10450,棉花,新疆维吾尔自治区,沙雅县,82.808501,41.27478,2024-05-28,2024-05-28 [覆膜播种] -> 2024-07-03 [人工打顶] -> 2024-08-08 [叶面喷施补硼] -> 2024-09-13 [枯萎病监测] -> 2024-10-19 [喷施脱叶剂],2024-11-22 10:16,35660.22,沙雅县第2深加工基地,"82.775931,41.217065",皮棉清理->锯齿轧花->纤维分级->压力打包,2024-11-24 12:16,2024-11-24 15:45,WH-CN-949,专业纤维库,2024-11-24 20:45,2024-12-28 20:45,避光控温控制,LOG-CN-46193137400,高栏平板车,"严禁烟火, 防静电, 干燥",2024-12-29 11:45,2024-12-30 22:18,南京市,南京浦口区,118.62,32.05,2024-12-31 22:18
CN-AG-202410-10451,玉米,广西壮族自治区,武宣县,109.692958,23.571964,2024-06-30,2024-06-30 [免耕直播] -> 2024-07-22 [苗期中耕] -> 2024-08-13 [喇叭口期追肥] -> 2024-09-04 [大斑病防治] -> 2024-09-26 [人工授粉辅助],2024-10-19 12:46,15783.51,武宣县第2深加工基地,"109.653704,23.593227",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-20 14:46,2024-10-20 22:41,WH-CN-935,现代化圆筒仓,2024-10-21 07:41,2024-11-09 07:41,避光控温控制,LOG-CN-12111935339,重型散粮卡车,"通风良好, 严控高温",2024-11-09 16:41,2024-11-14 16:06,成都市,新都区,104.15,30.82,2024-11-17 16:06
CN-AG-202410-10452,玉米,辽宁省,昌图县,124.061807,42.740893,2024-06-30,2024-06-30 [免耕直播] -> 2024-07-22 [苗期中耕] -> 2024-08-13 [喇叭口期追肥] -> 2024-09-04 [大斑病防治] -> 2024-09-26 [人工授粉辅助],2024-10-17 14:41,20773.13,昌图县第2深加工基地,"124.115287,42.783206",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-21 17:41,2024-10-21 21:41,WH-CN-290,现代化圆筒仓,2024-10-22 06:41,2024-11-12 06:41,避光控温控制,LOG-CN-15158001693,重型散粮卡车,"通风良好, 严控高温",2024-11-12 19:41,2024-11-14 19:13,广州市,天河区,113.33,23.13,2024-11-15 19:13
CN-AG-202406-10453,小麦,新疆维吾尔自治区,奇台县,89.532513,43.991806,2023-11-06,2023-11-06 [深耕整地] -> 2023-12-14 [秋播种子处理] -> 2024-01-21 [越冬水灌溉] -> 2024-02-28 [拔节期追肥] -> 2024-04-06 [条锈病防治] -> 2024-05-14 [干热风防护],2024-06-28 14:28,25497.62,奇台县第4深加工基地,"89.599357,44.011643",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-29 17:28,2024-06-29 20:38,WH-CN-596,钢板筒仓,2024-06-30 04:38,2024-07-15 04:38,准低温低氧控制,LOG-CN-10432971971,全封闭货车,"干燥, 禁止异味混载",2024-07-15 14:38,2024-07-16 22:59,南京市,玄武区,118.79,32.06,2024-07-17 22:59
CN-AG-202409-10454,水稻,吉林省,榆树市,126.582307,44.795453,2024-05-10,2024-05-10 [播种育秧] -> 2024-06-02 [田间底肥] -> 2024-06-25 [插秧作业] -> 2024-07-18 [分蘖期灌溉] -> 2024-08-10 [除草控虫] -> 2024-09-02 [晒田补肥],2024-09-22 17:50,20030.88,榆树市第3深加工基地,"126.547639,44.822493",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-23 20:50,2024-09-24 03:47,WH-CN-798,平房仓(准低温),2024-09-24 07:47,2024-10-28 07:47,准低温低氧控制,LOG-CN-56772847547,散粮车,"防潮, 湿度<14%",2024-10-28 20:47,2024-11-02 21:08,成都市,龙泉驿区,104.27,30.55,2024-11-05 21:08
CN-AG-202406-10455,小麦,河南省,唐河县,112.784566,32.644682,2023-11-01,2023-11-01 [深耕整地] -> 2023-12-09 [秋播种子处理] -> 2024-01-16 [越冬水灌溉] -> 2024-02-23 [拔节期追肥] -> 2024-04-01 [条锈病防治] -> 2024-05-09 [干热风防护],2024-06-22 14:24,5898.81,唐河县第1深加工基地,"112.835493,32.6823",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-23 18:24,2024-06-24 04:21,WH-CN-989,钢板筒仓,2024-06-24 13:21,2024-07-10 13:21,准低温低氧控制,LOG-CN-46638774025,全封闭货车,"干燥, 禁止异味混载",2024-07-11 01:21,2024-07-15 22:14,北京市,海淀区,116.3,39.96,2024-07-16 22:14
CN-AG-202410-10456,水稻,广西壮族自治区,武宣县,109.663636,23.607269,2024-05-23,2024-05-23 [播种育秧] -> 2024-06-15 [田间底肥] -> 2024-07-08 [插秧作业] -> 2024-07-31 [分蘖期灌溉] -> 2024-08-23 [除草控虫] -> 2024-09-15 [晒田补肥],2024-10-15 17:43,16393.38,武宣县第4深加工基地,"109.66937,23.580839",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-19 23:43,2024-10-20 05:44,WH-CN-339,平房仓(准低温),2024-10-20 12:44,2024-10-30 12:44,准低温低氧控制,LOG-CN-77030536743,散粮车,"防潮, 湿度<14%",2024-10-30 23:44,2024-11-01 05:35,武汉市,洪山区,114.34,30.5,2024-11-04 05:35
